index,artist,artist_id,name,id,url,album_name,album_id,release_date,duration_ms,explicit,popularity,added_at
0,Thaman S,2FgHPfRprDaylrSRVf1UlN,Ninnila,2DDOQBKGmkv7bPoYF1bELz,https://open.spotify.com/track/2DDOQBKGmkv7bPoYF1bELz,Tholi Prema,2wRphkgnlcGKkJIjZpxNvb,2020-01-20,234883,False,60,2025-09-20T12:11:54Z
1,Rahul Nambiar,5a2WF7juQ5oilpZCqikRtP,Silakaaa,4bZzxStIsy6VJqhrS1rXvN,https://open.spotify.com/track/4bZzxStIsy6VJqhrS1rXvN,Mirapakay,7jsaQdNi0QERa22Wm7NVq7,2010-12-06,277330,False,55,2025-09-20T12:11:53Z
2,Singer Prabha,273F9W74IJfwAFlpeJBSmo,Market Pilla,1RbEEgRgonoB7aavnUrF34,https://open.spotify.com/track/1RbEEgRgonoB7aavnUrF34,Market Pilla,18JU1ErBlfmZkv2jGUhn2x,2025-09-11,236689,False,34,2025-09-20T12:11:51Z
3,Shankar Mahadevan,1SJOL9HJ08YOn92lFcYf8a,"Akhanda - Title Song (From ""Akhanda"")",1xTxKdIpD2QDTBAMvBNr7J,https://open.spotify.com/track/1xTxKdIpD2QDTBAMvBNr7J,"Akhanda - Title Song (From ""Akhanda"")",1o06U1v1fjOYGWWCA0sSvn,2021-11-08,284138,False,35,2025-09-20T12:11:50Z
4,Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O,Manasilaayo,3CA9CjRf7IU2Ukz3GuYInP,https://open.spotify.com/track/3CA9CjRf7IU2Ukz3GuYInP,Vettaiyan (Original Motion Picture Soundtrack),6Xw7XAQQwpsy9KfUnJTrHz,2024-10-14,235629,False,68,2025-09-20T12:11:48Z
5,Thaman S,2FgHPfRprDaylrSRVf1UlN,"Dum Masala (From ""Guntur Kaaram"")(Telugu)",3yNhGgQMPOdqVFpjRu8k8x,https://open.spotify.com/track/3yNhGgQMPOdqVFpjRu8k8x,"Dum Masala (From ""Guntur Kaaram"")(Telugu)",2JTcQYxkWCph2DFYHljgnS,2023-11-07,206830,False,52,2025-09-20T12:11:44Z
6,"Deepak, M.M.Manasi",0OUgBuXhdf26tHytZARK27,Cheliya Cheliya,7sqWGfd0hHuPCf2MHhC2jv,https://open.spotify.com/track/7sqWGfd0hHuPCf2MHhC2jv,Beeruva,1UK8Lf8lsHWQ0it8FNQaLT,2014-12-24,274065,False,31,2025-09-20T12:11:43Z
7,JERRY,1mUl05hT77FrwVFW51wOlr,College Dropout,6yorRPLJMAobxSoZlX2n4x,https://open.spotify.com/track/6yorRPLJMAobxSoZlX2n4x,The College Dropout,06um4lMf63KYf6nj8p4MO8,2025-07-03,169999,False,61,2025-09-20T12:11:41Z
8,KK,4fEkbug6kZzzJ8eYX6Kbbp,Feel My Love,4EjO3ELtQkbOBox5adad6a,https://open.spotify.com/track/4EjO3ELtQkbOBox5adad6a,Aarya,48qWtimyagRy7spCbIdnfl,2004-04-19,299893,False,57,2025-09-20T12:05:37Z
9,Karthik,0LSPREIgGMZXCuKVel7LVD,Arare Arare,4siD8OfWU2SrxAam41kgpJ,https://open.spotify.com/track/4siD8OfWU2SrxAam41kgpJ,Happy Days,3zwlmA5XSHN0ovt9Y0Vkjk,2010-04-13,299333,False,53,2025-09-20T12:05:34Z
10,A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,Ee Hridayam,7wFL4hNlhotHNU6qZi9bHR,https://open.spotify.com/track/7wFL4hNlhotHNU6qZi9bHR,Yemaaya Chesave (Original Motion Picture Soundtrack),7n61GzJSBuZGrm8U1V9TLd,2010-01-29,329320,False,58,2025-09-20T12:05:32Z
11,Mani Sharma,3AMxH9QIPZbK8ND8C9j4Ss,Sada Siva,7sB18S2Ae8Aye4n9s9LZNj,https://open.spotify.com/track/7sB18S2Ae8Aye4n9s9LZNj,Khaleja (Original Motion Picture Soundtrack),6U1ZDp9cdKJrgJfoXdrkCu,2010-09-26,267600,False,56,2025-09-20T12:05:30Z
12,Vishwa,7ozuTyhWJTW9vMrRYijNuR,Adaraku,0qE6js14elCkx2OZfqGeiu,https://open.spotify.com/track/0qE6js14elCkx2OZfqGeiu,Athadu,2ODDu4Ubmth52DOQTWkiPb,2005-10-10,296969,False,48,2025-09-20T12:05:29Z
13,Naveen,4xbLzGsR7W5QMlLS08BNGt,Kailove Chedugudu,6XbkcFDeIoyIOe2HWoAxBh,https://open.spotify.com/track/6XbkcFDeIoyIOe2HWoAxBh,Sakhi,0x25Nwzk4BVwlUaZq5Hczu,2000-12-31,278306,False,59,2025-09-20T12:05:27Z
14,S. P. Balasubrahmanyam,2ae6PxICSOZHvjqiCcgon8,Kastha Ninu,4FdvUyjlRRN2wT7NZhJE0F,https://open.spotify.com/track/4FdvUyjlRRN2wT7NZhJE0F,Student No.1,5noZVPycEJvBujgkE4swsJ,2001-09-27,279848,False,50,2025-09-20T12:05:26Z
